Patch ID,relative_location,convex_hull_distance,ratio_of_aspect_ratios,ratio_of_number_of_components
0,left,16.1245154965971,1.842652152399802,1.0
1,left,29.257477676655586,0.5776285197623353,1.0
2,right,14.7648230602334,1.381118881118881,1.0
3,right,14.7648230602334,0.9020000000000001,1.0
4,left,30.14962686336267,1.1984861227922623,1.0
5,left,8.717797887081348,0.621832358674464,1.0
6,right,8.717797887081348,1.1337662337662338,1.0
7,right,28.792360097775937,0.6855670103092784,1.0
8,left,28.792360097775937,0.9084354722422493,1.0
9,right,27.568097504180443,1.7252204585537918,1.0
10,left,27.568097504180443,0.9235074626865672,1.0
11,left,25.88435821108957,0.8671328671328671,1.0
12,right,23.49468024894146,1.4048387096774195,1.0
13,right,23.49468024894146,0.5760670332547787,1.0
14,left,24.145392935299274,1.3255813953488371,1.0
15,left,24.145392935299274,0.7187683284457478,1.0
16,left,32.49615361854384,0.9038794168519892,1.0
17,left,15.937377450509228,5.25115562403698,1.0
18,left,15.937377450509228,0.265625,1.0
19,left,18.411952639521967,1.7849898580121704,1.0
20,right,18.411952639521967,0.6837398373983741,1.0
